AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
LOC101755031		
LOC101755034		
LOC101755035		
LOC101755037		
LOC101755047		OsRING140;OsRING141
LOC101755052		OsJAZ8, JAZ8, OsJAZ 4, OsJAZ4, JAZ4, OsTIFY6b, OsJAZ4-2, JAZ4-2. OsJAZ3, JAZ3;OsJAZ9, OsJAZ 3, OsJAZ3, JAZ9, JAZ3, OsTIFY6a;OsTRXh3, TRXH3, OsTrx26, Trx26, antiSTR1, OsTDX, TDX
LOC101755053		OsLEA15
LOC101755058		OsRING140;OsRING141
LOC101755063		OsFbox253, Os_F0052, OsFBX164, FBX164;OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101755080		OsSAUR14, OsSAUR15, SAUR15;OsSAUR21;OsSAUR58, OsSAUR60, SAUR60
LOC101755094		
LOC101755097		Os_F0710;Os_F0758;OsFbox282, Os_F0643, OsFBX178, FBX178;OsFbox283, Os_F0368, OsFBL26, FBL26
LOC101755100		
LOC101755115		OsFbox010, OsFbox10, Os_F0156, OsFBX6, OsFBX6, FBX6;OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101755122		
LOC101755143		
LOC101755169		OsDegp14, DEGP14, OsDeg-like 4;OsTP1, S1TP, OgTPR1, S1TPR
LOC101755175		OsGSTF10;OsGSTF13;OsGSTF1, RGSI;OsGSTF7;OsGSTF8
LOC101755177		OsDMD1
LOC101755178		OsHSP70, hsp70
LOC101755184		
LOC101755199		
LOC101755205		
LOC101755228		Os_F0253, OsFBX402, FBX402;OsFbox586, Os_F0088, Fbox-13, OsFBX411, FBX411;OsFbox587, Os_F0097, OsFBX412, FBX412;OsFbox588, Os_F0365, Fbox-10, OsFBX413, FBX413;OsFbox595, Os_F0194, OsFBL54, FBL54
LOC101755236		OsSTA13
LOC101755249		
LOC101755258		
LOC101755276		OsOFP16, OsOFP24, OFP24;OsOFP9, OsOFP13, OFP13
LOC101755282		Nbs1-Pi9, Nbs1-Pi2, Nbs1-NPB;Pi9(t), Pi9(t)*, Pi9, Pi-9(t);Piz-t, Pi-zt, Pi-z(t), Pi2/Pizt, Pizt, Pi9, OsPiz-t
LOC101755293		
LOC101755295		OsDIR2, OsjDIR2;OsDIR30, OsjDIR30;OsDIR32, OsjDIR32;OsDIR3, OsjDIR3;OsDIR4, OsjDIR4
LOC101755301		
LOC101755316		
LOC101755317		OsCTR1, CTR1
LOC101755348		
LOC101755360		Os_F0710;OsFbox220, Os_F0518, OsFBX142, FBX142;OsFbox282, Os_F0643, OsFBX178, FBX178
LOC101755366		
LOC101755390		
LOC101755400		
LOC101755407		
LOC101755408		
LOC101755426		RPL5
LOC101755428		
LOC101755462		Os_F0762;OsFbox542, Os_F0480, OsSTA237, OsFBX378, FBX378;OsFbox544, Os_F0652, OsFBX380, FBX380;OsFbox545, Os_F0535, OsFBX381, FBX381;OsFbox546, Os_F0513, OsFBX382, FBX382
LOC101755466		OsRING140;OsRING141
LOC101755472		OsFbox359, Os_F0431, OsFBX231, FBX231
LOC101755489		OsOFP20, OsOFP31, OFP31;OsOFP26, OsOFP29, OFP29
LOC101755495		
LOC101755540		
LOC101755556		OsRRM1-21
LOC101755563		OsAP2, OsERF#108, OsERF108, AP2/EREBP#001, AP2/EREBP1, RD2, OsCRF1, CRF1, ESR1, OsESR1
LOC101755565		
LOC101755566		
LOC101755567		
LOC101755568		
LOC101755597		
LOC101755624		
LOC101755637		OsFbox286, Os_F0619, OsFBX181, FBX181;OsFbox287, Os_F0750, OsFBX182, FBX182;OsFbox288, Os_F0622, OsFBX183, FBX183;OsFbox289, Os_F0510, OsFBO18, FBO18
LOC101755665		OsFBDUF27;OsFBDUF7;OsFBX474
LOC101755666		
LOC101755681		
LOC101755687		
LOC101755693		
LOC101755720		ONAC014, ONAC14, OsNAC14, NAC14, OsNAC68, NAC68
LOC101755739		OsFbox253, Os_F0052, OsFBX164, FBX164;OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101755774		
LOC101755809		
LOC101755825		
LOC101755836		
LOC101755837		
LOC101755847		Rab16A, rab21, RAB21, OsRab21, OsRAB21, OsRAB-21, OsRab16A, OsLEA29, rab16A, OsRAB16A;rab21, OsLEA26, Rab16D, OsRab16;rab21, OsLEA27, rab16C, OsRAB16C, DHD;rab21, OsLEA28, OsRAB16D, OsRab16d, Rab16d, OsRAB16b, XERO1, OsXERO1, OsRD22, RD22
LOC101755858		
LOC101755863		OsFbox044, OsFbox44, Os_F0491, OsFBL3, FBL3
LOC101755864		
LOC101755880		OsRING140;OsRING141
LOC101755892		
LOC101755914		OsDUF247
LOC101755930		OsFbox114, Os_F0103, OsFBX64, FBX64;OsFbox241, Os_F0593, OsFBX155, FBX155;OsFBX71
LOC101755958		OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox336, Os_F0293, OsFBX212, FBX212;OsFbox615, Os_F0099, OsFBX426, FBX426;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234
LOC101755983		Os_F0663;OsFbox068, OsFbox68, Os_F0346, OsFBLD1, FBLD1;OsFbox322, Os_F0520, OsFBX203, FBX203
LOC101755984		
LOC101756015		OsEnS-127
LOC101756038		Os_F0710;Os_F0758;OsFbox132, Os_F0228, OsFBX78, FBX78;OsFbox498, Os_F0145, OsFBX337, FBX337
LOC101756040		OsNHL56;OsNHL57
LOC101756052		OsWRKY21;OsWRKY45, OsWRKY45-1, OsWRKY45-2, WRKY45-1, WRKY45-2;OsWRKY48;OsWRKY52;OsWRKY54
LOC101756054		hsa1(t), s(t), hst49
LOC101756064		Os_F0697;OsFBDUF14;OsFBDUF27
LOC101756082		Os_F0710;OsFbox283, Os_F0368, OsFBL26, FBL26;OsFbox290, Os_F0343, OsFBX184, FBX184;OsFbox291, Os_F0516, OsFBX185, FBX185;OsFbox494, Os_F0637, OsFBX333, FBX333
LOC101756100		OsAP2, OsERF#108, OsERF108, AP2/EREBP#001, AP2/EREBP1, RD2, OsCRF1, CRF1, ESR1, OsESR1;OsERF#109, OsERF109, AP2/EREBP#063, AP2/EREBP63, DLN223, OsDLN223, OsCRF6, CRF6
LOC101756125		OsREM0.1
LOC101756128		
LOC101756158		OsHIGD3, HIGD3;OsHIGD5, HIGD5
LOC101756159		OsDLN199
LOC101756160		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox336, Os_F0293, OsFBX212, FBX212
LOC101756168		OsMSL16;OsMSL27;OsMSL35
LOC101756169		
LOC101756194		
LOC101756208		
LOC101756210		OsFBDUF31;OsFBDUF33;OsFbox292, Os_F0618, OsFBDUF30, FBDUF30;OsFbox293, Os_F0585, OsFBX186, FBX186
LOC101756256		ONAC033, ONAC33;ONAC038, ONAC38
LOC101756266		OsFbox418, Os_F0453, OsFBX269, FBX269
LOC101756270		OsChtBL1, ChtBL1
LOC101756278		
LOC101756286		OsRING140;OsRING141
LOC101756297		
LOC101756298		OsSKIN1, OsO3L8, O3L8;OsSKIN2, OsO3L9, O3L9
LOC101756306		
LOC101756342		
LOC101756372		
LOC101756384		
LOC101756419		
LOC101756434		OsPROG1, ZOS7-02, OsZOS7-02;OsZOS3-19
LOC101756449		OsWED
LOC101756467		OsWRKY60
LOC101756485		
LOC101756489		
LOC101756501		
LOC101756512		OsMaT-2;OsMaT-3
LOC101756514		
LOC101756540		
LOC101756543		
LOC101756550		
LOC101756563		
LOC101756566		OsFbox170, Os_F0296, OsFBDUF17, FBDUF17;OsFbox176, Os_F0077, OsFBDUF18, FBDUF18;OsFbox613, Os_F0243, OsFBDUF52, FBDUF52;OsFbox614, Os_F0381, OsFBDUF53, FBDUF53;OsFbox616, Os_F0314, OsFBDUF54, FBDUF54
LOC101756574		OsCCT36, OsCMF12, CMF12, OsRpp30, Rpp30;OsCCT39, OsCMF13, CMF13, OsRpp30-L, Rpp30-L;OsCCT41, CCT41, OsCMF14
LOC101756575		OsStr19, OsPP126
LOC101756576		OsPR5, PR5;PR5
LOC101756581		
LOC101756587		OsZOS11-10;OsZOS3-09
LOC101756596		
LOC101756602		
LOC101756628		2-ODD12, Os2-ODD12, Os2ODD12, 2ODD12, OsHIS1;2-ODD27, Os2-ODD27, Os2ODD27, OsHSL2, HSL2;OsHSL6;OsHSL6, HSL6
LOC101756646		Rab16A, rab21, RAB21, OsRab21, OsRAB21, OsRAB-21, OsRab16A, OsLEA29, rab16A, OsRAB16A;rab21, OsLEA26, Rab16D, OsRab16;rab21, OsLEA27, rab16C, OsRAB16C, DHD;rab21, OsLEA28, OsRAB16D, OsRab16d, Rab16d, OsRAB16b, XERO1, OsXERO1, OsRD22, RD22
LOC101756663		Ph=Bhc(Po), Bhc, Po, Ph, Bh3, PPO, Phr1, BH1
LOC101756672		OsRING109;OsRING196;OsRING261;OsRING264;OsRING265
LOC101756682		
LOC101756693		OsFBD4;OsFbox207, Os_F0611, OsFBLD2, FBLD2;OsFbox358, Os_F0098, OsFBLD4, FBLD4;OsFbox363, Os_F0353, OsFBLD5, FBLD5;OsFbox364, Os_F0107, OsFBLD6, FBLD6
LOC101756696		
LOC101756699		
LOC101756701		
LOC101756707		OsGeBP11, GeBP11
LOC101756708		OsFbox238, Os_F0385, OsFBX154, FBX154;OsFbox341, Fbox341, Os_F0215, OsFBL34, FBL34;OsFbox342, Os_F0418, OsFBL35, FBL35;OsFbox343, Os_F0141, OsFBX216, FBX216;OsFbox344, Os_F0183, OsFBLD3, FBLD3
LOC101756725		
LOC101756738		
LOC101756739		
LOC101756744		
LOC101756752		OsNBL1
LOC101756755		
LOC101756758		Os_F0710;OsFbox133, Os_F0449, OsFBX79, FBX79;OsFbox282, Os_F0643, OsFBX178, FBX178;OsFbox290, Os_F0343, OsFBX184, FBX184;OsFbox291, Os_F0516, OsFBX185, FBX185;OsFbox494, Os_F0637, OsFBX333, FBX333
LOC101756780		
LOC101756785		
LOC101756797		
LOC101756817		
LOC101756839		OsRad21-2
LOC101756846		
LOC101756848		
LOC101756854		OsFBDUF7;OsFBX474
LOC101756865		
LOC101756874		
LOC101756881		OsFLZ11;OsFLZ28
LOC101756885		
LOC101756895		
LOC101756911		
LOC101756918		
LOC101756928		OsO3L2;OsO3L3;OsO3L5
LOC101756934		Rf2 (Rfx), Rfx, Rf2
LOC101756959		
LOC101756963		OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101756964		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox337, Os_F0302, OsFBX213, FBX213;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101756975		
LOC101756976		
LOC101756982		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox337, Os_F0302, OsFBX213, FBX213;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101756991		
LOC101756992		
LOC101756998		
LOC101757010		OsFbox198, Os_F0644, OsFBDUF20, FBDUF20;OsFbox200, Os_F0645, OsFBDUF21, FBDUF21;OsFbox622, Os_F0499, OsFBDUF60, FBDUF60
LOC101757016		OsHIPP7, OsaHIP07, HIP07
LOC101757018		ONAC143;ONAC144;ONAC145
LOC101757034		
LOC101757036		OsWRKY46, WRKY91, OsWRKY91;OsWRKY55;OsWRKY97
LOC101757048		OsRhoGAP7, OsRhoGAP7
LOC101757065		
LOC101757068		
LOC101757077		
LOC101757088		OsbHLH171, bHLH171
LOC101757091		OsRING224;OsRING251;OsRING265;OsRING55
LOC101757125		OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101757127		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox337, Os_F0302, OsFBX213, FBX213;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101757132		OsbZIP80, OsZIP-2a
LOC101757140		OsKAS;OsTRXh2, Os2, OsTrxh2
LOC101757141		
LOC101757170		OsFbox348, Os_F0035, OsFBX221, FBX221;OsFbox356, Os_F0118, OsFBX229, FBX229;OsFbox357, Os_F0033, OsFBX230, FBX230
LOC101757203		OsHMP8, OsHMP08
LOC101757205		
LOC101757206		OsLysM-RLK1, LysM-RLK1, OsLYK4, OsNFR5/OsRLK2, OsNFR5, NFR5, OsRLK2, RLK2;OsLysM-RLK5, LysM-RLK5, OsLYK2;OsLysM-RLK6, LysM-RLK6, OsLYK3;OsLysM-RLK7, LysM-RLK7, OsLYK6
LOC101757208		Os_F0610;OsFbox080, OsFbox80, Fbox80, Os_F0533, F0533, OsFBX44, FBX44;OsFbox081, OsFbox81, Os_F0375, OsFBX45, FBX45;OsFbox082, OsFbox82, Os_F0509, OsFBX46, FBX46;OsFbox199, Fbox199, Os_F0630, OsFBX128, FBX128, OsRCN128
LOC101757214		
LOC101757222		OsVQ33;OsVQ35
LOC101757226		OsFbox051, OsFbox51, Os_F0330, F0330, OsFBX31, FBX31;OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFbox463, Os_F0230, OsFBX303, FBX303;OsFbox464, Os_F0048, OsFBX304, FBX304
LOC101757235		OsVQ33;OsVQ34;OsVQ35
LOC101757283		
LOC101757286		OsFBDUF31;OsFBDUF33;OsFbox292, Os_F0618, OsFBDUF30, FBDUF30;OsFbox293, Os_F0585, OsFBX186, FBX186
LOC101757299		
LOC101757323		Os_F0743
LOC101757328		
LOC101757336		
LOC101757357		
LOC101757385		OsSGO1
LOC101757396		
LOC101757414		
LOC101757423		OsCTR1, OsRING325, RING325, OsC3HC4_041, C3HC4_041;OsRING238
LOC101757438		
LOC101757450		
LOC101757454		Os_F0606;OsFbox020, OsFbox20, Os_F0674, OsFBX16, FBX16;OsFbox114, Os_F0103, OsFBX64, FBX64;OsFbox241, Os_F0593, OsFBX155, FBX155
LOC101757461		
LOC101757471		SIP3
LOC101757478		
LOC101757499		OsGASR2, GASR2
LOC101757503		Spk(t), Spk(t)*), Spk, OsTAC1, TAC1, qTAC9
LOC101757508		
LOC101757514		OsFbox468, Os_F0398, OsFBX308, FBX308;OsFbox469, Os_F0272, OsFBX309, FBX309
LOC101757522		
LOC101757525		
LOC101757528		
LOC101757532		OsPMEI24, PMEI24;OsPMEI4
LOC101757545		
LOC101757550		
LOC101757558		OsMSL16;OsMSL27;OsMSL35
LOC101757588		
LOC101757592		
LOC101757594		
LOC101757598		Os_F0780, OsFBX9, OsFBX9, FBX9;OsFBX8
LOC101757604		
LOC101757611		
LOC101757620		OsFbox459, Os_F0074, OsFBX299, FBX299;OsFbox461, Os_F0025, OsFBX301, FBX301;OsFbox462, Os_F0019, OsFBX302, FBX302;OsFbox651, Os_F0018, OsFBA4, FBA4
LOC101757623		OsCTR1, OsRING325, RING325, OsC3HC4_041, C3HC4_041
LOC101757635		
LOC101757651		OsSRDP
LOC101757654		
LOC101757656		
LOC101757661		
LOC101757676		
LOC101757678		UNP2
LOC101757693		
LOC101757706		
LOC101757728		
LOC101757749		
LOC101757784		OsFbox358, Os_F0098, OsFBLD4, FBLD4;OsFbox362, Os_F0439, OsFBL36, FBL36;OsFbox363, Os_F0353, OsFBLD5, FBLD5;OsFbox364, Os_F0107, OsFBLD6, FBLD6;OsFbox366, Os_F0784, OsFBLD7, FBLD7
LOC101757788		
LOC101757794		
LOC101757841		OsMSL16;OsMSL27;OsMSL28;OsMSL35
LOC101757869		
LOC101757873		OsTP1, S1TP, OgTPR1, S1TPR
LOC101757874		OsMRLP2
LOC101757914		OsWRKY12
LOC101757944		
LOC101757961		OsEnS-46
LOC101757962		
LOC101757963		
LOC101757987		
LOC101758005		
LOC101758028		
LOC101758040		
LOC101758055		
LOC101758059		
LOC101758074		OsVQ14;OsVQ26;OsVQ28
LOC101758120		OsHMP18, HMP18, OsHIPP36, OsaHIP36, HIP36;OsHMP43, HMP43, OsHIPP35, OsaHIP35, HIP35
LOC101758132		
LOC101758138		
LOC101758145		
LOC101758147		OsRING7
LOC101758152		
LOC101758158		
LOC101758161		
LOC101758177		
LOC101758198		OsvWA32, vWA32
LOC101758201		Os_F0736;OsFbox472, Fbox472, Os_F0599, OsFBX313, FBX313, OsFBX313, FBX313;OsFbox478, Os_F0354, OsFBX319, FBX319;OsFbox479, Os_F0399, OsFBX320, FBX320;OsFbox481, Os_F0362, FBX322, OsFBX322, OsFBX322, FBX322
LOC101758219		OsSTA141
LOC101758220		OsPLT10
LOC101758230		
LOC101758239		Os2M1, 2M1
LOC101758245		OsCIA
LOC101758268		
LOC101758282		OsVQ1
LOC101758295		OsRING187;OsRING55
LOC101758325		
LOC101758327		OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101758334		
LOC101758337		
LOC101758338		OsMEL2, OsRING430, RING430, RRM1-209, OsRRM1-209
LOC101758349		glb1(t)*, glb1(t), glb1, alpha-Glb, Glb-1, OsGlb1, Glb1, Glb, OsEnS-77
LOC101758351		OsFBDUF14
LOC101758354		OsDIR26, OsjDIR26;OsDIR2, OsjDIR2;OsDIR30, OsjDIR30;OsDIR31, OsjDIR31;OsDIR3, OsjDIR3
LOC101758361		OsRALF-21, OsRALF21, RALF-21, OsRALF19, RALF19;OsRALF-3, OsRALF3, RALF-3, OsRALF17, RALF17
LOC101758371		
LOC101758376		JIOsPR10, OsPR10, PR10, OsJiPR10, JiPR10, OsPR10c, PR10c
LOC101758397		
LOC101758409		DERF5, OsDERF5, OsERF#103, OsERF103, AP2/EREBP#130, AP2/EREBP130, OsERF109
LOC101758431		
LOC101758443		
LOC101758462		OsFbox412, Fbox412, Os_F0356, OsFBX266, FBX266;OsFbox413, Os_F0321, OsFBL41, FBL41
LOC101758463		
LOC101758468		
LOC101758479		
LOC101758488		
LOC101758503		OsPMEI48
LOC101758504		
LOC101758514		OsMADS37, DLN217, OsDLN217
LOC101758517		
LOC101758524		
LOC101758527		
LOC101758532		
LOC101758542		
LOC101758544		
LOC101758554		
LOC101758560		
LOC101758601		Os_F0710;OsFbox282, Os_F0643, OsFBX178, FBX178;OsFbox283, Os_F0368, OsFBL26, FBL26;OsFbox290, Os_F0343, OsFBX184, FBX184;OsFbox291, Os_F0516, OsFBX185, FBX185
LOC101758602		
LOC101758609		OsFbox452, Os_F0193, OsFBL50, FBL50;OsFbox453, Os_F0339, OsFBD14, FBD14;OsFbox487, Os_F0548, OsFBLD9, FBLD9
LOC101758618		
LOC101758620		
LOC101758644		
LOC101758645		Os2M1, 2M1
LOC101758650		
LOC101758661		
LOC101758662		OsRING11;OsRING402
LOC101758682		
LOC101758685		Os_F0610;OsFbox080, OsFbox80, Fbox80, Os_F0533, F0533, OsFBX44, FBX44;OsFbox081, OsFbox81, Os_F0375, OsFBX45, FBX45;OsFbox082, OsFbox82, Os_F0509, OsFBX46, FBX46
LOC101758690		
LOC101758702		OsRAD23;RAD23
LOC101758703		OsRING187;OsRING224;OsRING251;OsRING264;OsRING55
LOC101758735		OsFbox375, Os_F0062, OsFBX237, FBX237;OsFbox376, Os_F0063, OsFBX238, FBX238;OsFBX239
LOC101758741		OsWRKY114;OsWRKY46, WRKY91, OsWRKY91;OsWRKY52;OsWRKY97
LOC101758766		
LOC101758767		
LOC101758786		JIOsPR10, OsPR10, PR10, OsJiPR10, JiPR10, OsPR10c, PR10c
LOC101758808		OsFbox035, OsFbox35, Os_F0556, OsFBX22, FBX22;OsFbox036, OsFbox36, Os_F0051, OsFBX23, FBX23;OsFbox191, Os_F0109, OsFBD10, FBD10;OsFbox207, Os_F0611, OsFBLD2, FBLD2;OsFbox363, Os_F0353, OsFBLD5, FBLD5;OsFbox364, Os_F0107, OsFBLD6, FBLD6
LOC101758814		OsTPS11, TPS11, TPS28, OsTPS28;TPS9, OsTPS9
LOC101758827		OsRALF-4, OsRALF4, RALF-4;OsRALF-5, OsRALF5, RALF-5
LOC101758828		
LOC101758863		
LOC101758868		
LOC101758896		
LOC101758898		
LOC101758909		OsPMEI48
LOC101758926		
LOC101758929		OsSTA168
LOC101758950		
LOC101758960		
LOC101758981		ONAC044, ONAC44;ONAC097, ONAC97;ONAC098, ONAC98;ONAC099, ONAC99;ONAC105
LOC101758982		Osc4, OsC4, Osg4B, OsLTPc1, OsLtpIII.1, C4
LOC101758991		OsFKBP16-4
LOC101758993		Os_F0763;OsFbox363, Os_F0353, OsFBLD5, FBLD5;OsFbox364, Os_F0107, OsFBLD6, FBLD6;OsFbox667, Os_F0594, OsFBD16, FBD16
LOC101758994		OsRIP1, RIP1, OsjRIP1.1
LOC101759000		
LOC101759007		
LOC101759015		DIR51, OsDIR51, OsjDIR51, OsJRL27;OsDIR52, OsjDIR52;OsDIR53, OsjDIR53;OsJAC1, DIR54, OsDIR54, OsjDIR54, OsJRL29, JRL29;OsJRL28
LOC101759019		OsFbox450, Os_F0185, OsFBX294, FBX294;OsFbox452, Os_F0193, OsFBL50, FBL50;OsFbox487, Os_F0548, OsFBLD9, FBLD9
LOC101759029		
LOC101759037		OsSAUR3, OsSAUR72
LOC101759070		
LOC101759071		OsRING402
LOC101759079		OsPMEI30;OsPMEI38
LOC101759092		
LOC101759108		OsRING256;OsRING259
LOC101759120		
LOC101759123		
LOC101759125		OsZOS9-07, ZOS9-07, OsDRG9, OsDRG9, ZOS9-07
LOC101759133		
LOC101759150		OsKAS;OsTRXh2, Os2, OsTrxh2
LOC101759176		
LOC101759186		OsDUF247
LOC101759187		OsSMR1
LOC101759192		JIOsPR10, OsPR10, PR10, OsJiPR10, JiPR10, OsPR10c, PR10c
LOC101759207		
LOC101759209		OsMed9_2, Med9_2
LOC101759226		OsDegp14, DEGP14, OsDeg-like 4
LOC101759227		
LOC101759230		
LOC101759243		
LOC101759245		OsBIC1;OsBIC2
LOC101759248		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox336, Os_F0293, OsFBX212, FBX212;OsFbox337, Os_F0302, OsFBX213, FBX213;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234
LOC101759254		OsDMD1
LOC101759277		
LOC101759291		
LOC101759306		OsTPR042, TPR042, OsTPR42;OsTPR043, TPR043, OsTPR43
LOC101759329		
LOC101759379		
LOC101759392		OsFbox358, Os_F0098, OsFBLD4, FBLD4;OsFbox363, Os_F0353, OsFBLD5, FBLD5;OsFbox364, Os_F0107, OsFBLD6, FBLD6;OsFbox366, Os_F0784, OsFBLD7, FBLD7;OsFbox367, Os_F0432, OsFBLD8, FBLD8
LOC101759402		
LOC101759433		
LOC101759434		
LOC101759435		
LOC101759474		
LOC101759480		
LOC101759482		Os_F0746;Os_F0782;OsFbox244, Os_F0497, OsFBDUF23, FBDUF23
LOC101759498		OsFLOT2
LOC101759517		Os_F0610;OsFbox080, OsFbox80, Fbox80, Os_F0533, F0533, OsFBX44, FBX44;OsFbox081, OsFbox81, Os_F0375, OsFBX45, FBX45;OsFbox082, OsFbox82, Os_F0509, OsFBX46, FBX46
LOC101759522		
LOC101759527		
LOC101759545		
LOC101759553		OsFbox067, OsFbox67, Os_F0477, OsFBX38, FBX38;OsFbox444, Os_F0648, OsFBX291, FBX291
LOC101759559		OsLEA25, LEA25, OsEnS-143, OsRAB21, RAB21, Rab17, OsRab17
LOC101759566		
LOC101759570		
LOC101759603		
LOC101759616		
LOC101759653		OsFbox018, OsFbox18, Os_F0259, OsFBX15, FBX15;OsFbox306, Os_F0305, OsFBX194, FBX194;OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFBX210;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101759655		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox336, Os_F0293, OsFBX212, FBX212;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101759657		
LOC101759659		
LOC101759685		
LOC101759692		
LOC101759695		
LOC101759696		
LOC101759697		
LOC101759698		
LOC101759703		
LOC101759752		OsFbox444, Os_F0648, OsFBX291, FBX291
LOC101759756		
LOC101759766		OsRGG2
LOC101759775		
LOC101759787		OsPUB73;OsPUB8, OsPUB08, OsPUB8, PUB8
LOC101759795		
LOC101759806		ODCa, OsODC1, ODC1;ODCb, OsODC3, ODC3, OsODC1, ODC1, OsODC, ODC;OsODC2
LOC101759834		
LOC101759839		OsRING392
LOC101759843		
LOC101759854		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFBX210;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101759879		
LOC101759880		
LOC101759908		OsOSD1
LOC101759923		OsRING256;OsRING259
LOC101759940		
LOC101759946		
LOC101759948		OsLLA1, OsLTPG6, OsLTPg6, OsLTPL1, LLA1, LTPG6, LTPg6, LTPL1;OsLLA7, OsLTPG21, OsLTPg21, LLA7, LTPG21, LTPg21, OsHyPRP25, HyPRP25;OsLTPG3, OsLTPg3
LOC101759961		OsHyPRP43, HyPRP43;OsHyPRP44, HyPRP44
LOC101759978		
LOC101759984		OsS40-2
LOC101759985		
LOC101759991		OsFBDUF14
LOC101760014		
LOC101760035		RLS1, OsRLS1, OsLRD43, NOE2, OsNOE2
LOC101760046		OsFbox428, Os_F0440, OsFBX278, FBX278
LOC101760058		OsFbox307, Os_F0034, OsFBX195, FBX195;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234;OsFBX285
LOC101760088		
LOC101760090		Rab16A, rab21, RAB21, OsRab21, OsRAB21, OsRAB-21, OsRab16A, OsLEA29, rab16A, OsRAB16A;rab21, OsLEA27, rab16C, OsRAB16C, DHD;rab21, OsLEA28, OsRAB16D, OsRab16d, Rab16d, OsRAB16b, XERO1, OsXERO1, OsRD22, RD22
LOC101760111		hsa1(t), s(t), hst49
LOC101760134		
LOC101760140		
LOC101760145		OsRKD1
LOC101760149		
LOC101760191		
LOC101760199		OsPEI, PEI, OsPMEI7;OsPMEI12;OsPMEI8;OsSTA139, OsPMEI21
LOC101760234		OsFbox332, Os_F0267, OsFBX209, FBX209;OsFbox333, Os_F0159, OsFBL33, FBL33;OsFbox337, Os_F0302, OsFBX213, FBX213;OsFBX210;OsFBX234, OsFbox369, Os_F0191, OsFBX234, FBX234
LOC101760238		OsWRKY116;OsWRKY46, WRKY91, OsWRKY91;OsWRKY97
LOC101760247		Os_F0451, OsFBX286, FBX286
LOC101760253		
LOC101760281		OsRING70;OsRING71;OsRING72
LOC101760286		
LOC101760309		
LOC101760327		OsOSD1
LOC101760339		OsGeBP10, GeBP10;OsGeBP13, GeBP13
LOC101760347		
