HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.7HG0714850	ATP-dependent caseinolytic (Clp) protease/crotonase family protein	OsCRO
HORVU.MOREX.r3.7HG0714870.1.CDS1	indole-3-acetate beta-D-glucosyltransferase (IAGLU);UDP-glucosyltransferase 75B1 (UGT75B1);UDP-glucosyl transferase 75B2 (UGT75B2);UDP-Glycosyltransferase superfamily protein	OsUGT75E1;OsUGT75G1;OsUGT75H1;OsUGT75J1;OsUGT75K1, OsUGT75L6, UGT75L6
HORVU.MOREX.r3.7HG0714900	DHHC-type zinc finger family protein	OsDHHC12;OsDHHC21;OsDHHC23;OsDHHC29;OsDLN232, OsDHHC24, DHHC24
HORVU.MOREX.r3.7HG0714910	MOSAIC DEATH 1 (MOD1)	OsENR1
HORVU.MOREX.r3.7HG0714920.1.CDS1	indole-3-acetate beta-D-glucosyltransferase (IAGLU);UDP-glucosyltransferase 75B1 (UGT75B1);UDP-glucosyl transferase 75B2 (UGT75B2);UDP-Glycosyltransferase superfamily protein	OsUGT75E1;OsUGT75G1;OsUGT75H1;OsUGT75J1;OsUGT75K1, OsUGT75L6, UGT75L6
HORVU.MOREX.r3.7HG0714930	UDP-galactose transporter 1 (UTR1);UDP-galactose transporter 3 (UTR3);UDP-galactose transporter 5 (UTR5);UDP-N-acetylglucosamine (UAA) transporter family	OsUGT4
HORVU.MOREX.r3.7HG0714940.1.CDS1	Cysteine/Histidine-rich C1 domain family protein	
HORVU.MOREX.r3.7HG0714950	Putative lysine decarboxylase family protein	
HORVU.MOREX.r3.7HG0714960	glyoxalase I homolog (GLX1)	OsGLYI11, GLYI11, OsGLYII1.1, OsGLYI11.2, OsGLYI11.3, OsGLYI-11.2, Glb33;OsGLYI2;OsGLYI7, OsGLYI7.1, OsGLYI7.2
HORVU.MOREX.r3.7HG0714960	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein;glyoxalase I homolog (GLX1)	OsGLYI11, GLYI11, OsGLYII1.1, OsGLYI11.2, OsGLYI11.3, OsGLYI-11.2, Glb33;OsGLYI2;OsGLYI7, OsGLYI7.1, OsGLYI7.2
HORVU.MOREX.r3.7HG0714970.1.CDS1	multiprotein bridging factor 1A (MBF1A);multiprotein bridging factor 1B (MBF1B);multiprotein bridging factor 1C (MBF1C)	OsMBF1C;OsMBF1, Edf, OsMBF1a, MBF1a
HORVU.MOREX.r3.7HG0714980	aldehyde dehydrogenase 10A9 (ALDH10A9);aldehyde dehydrogenase 2B4 (ALDH2B4);aldehyde dehydrogenase 2B7 (ALDH2B7);aldehyde dehydrogenase 2C4 (ALDH2C4)	ALDH1a, Aldh1a, OsALDH1a, OsALDH2C4, ALDH2C4;OsALDH2a, ALDH2a, Aldh2a, OsSTA73, OsALDH2B5, ALDH2B5;OsALDH2B1, OsALDH2b, ALDH2b;OsALDH2B2, OsHCALDH3, HCALDH3, OsALDH2C3, ALDH2C3;OsALDH2C1, OsHCALDH2, HCALDH2, OsALDH2C2, ALDH2C2
HORVU.MOREX.r3.7HG0715010	hemoglobin 3 (GLB3)	
HORVU.MOREX.r3.7HG0715110	MEIOTIC RECOMBINATION 11 (MRE11)	MRE11, OsMRE11;OsMRE11, Mre11
HORVU.MOREX.r3.7HG0715120	Small nuclear ribonucleoprotein family protein	
HORVU.MOREX.r3.7HG0715150	ROOT INITIATION DEFECTIVE 3 (RID3)	OsWD40-142, OsDWD11, DWD11;OsWD40-172
HORVU.MOREX.r3.7HG0715170.1.CDS1	UDP-glucosyl transferase 73B5 (UGT73B5);UDP-glycosyltransferase 73B4 (UGT73B4);UDP-Glycosyltransferase superfamily protein	OsDUGT1, DUGT1;OsUGT98B1;RGlu6, OsRGLU6
HORVU.MOREX.r3.7HG0715180	Cyclin A1;CYCLIN A1	CycA1;1, CycA1;os;1, Orysa;CycA1;1, CYCA2.3, OscycA1;1, CYCA1-1, OsCYCA1-1;cycA1;3, CycA1;3, CYCA1-3
HORVU.MOREX.r3.7HG0715190	syntaxin of plants 121 (SYP121);syntaxin of plants 123 (SYP123);syntaxin of plants 124 (SYP124);syntaxin of plants 125 (SYP125)	OsKN, OsSYP111, SYP111;OsSYP121;OsSYP124;OsSYP125;OsSYP132, OsSYP131a, SYP131a
HORVU.MOREX.r3.7HG0715200	NAD(P)-binding Rossmann-fold superfamily protein	
HORVU.MOREX.r3.7HG0715220	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat receptor-like protein kinase family protein;Leucine-rich repeat transmembrane protein kinase family protein	OsRLCK127, RLCK127, OsCTB4a, qCTB4-1;OsRLCK275
HORVU.MOREX.r3.7HG0715240.1.CDS1	Pentatricopeptide repeat (PPR) superfamily protein	
HORVU.MOREX.r3.7HG0715260.1.CDS1	Cysteine/Histidine-rich C1 domain family protein	
HORVU.MOREX.r3.7HG0715280	Leucine-rich repeat protein kinase family protein	OsCLV2d
HORVU.MOREX.r3.7HG0715300	unknown protein	
HORVU.MOREX.r3.7HG0715330	ABC2 homolog 2 (ATH2);ABC2 homolog 6 (ATH6);ABC2 homolog 7 (ATH7);ATP binding cassette subfamily A4 (ABCA4)	OsABCA1;OsABCA2, OsISC27;OsABCA4;OsABCA5
HORVU.MOREX.r3.7HG0715340.1.CDS1	LisH/CRA/RING-U-box domains-containing protein;zinc ion binding	
HORVU.MOREX.r3.7HG0715370	EF-TU receptor (EFR);Leucine-rich repeat protein kinase family protein	OsCLV2c
HORVU.MOREX.r3.7HG0715480	Leucine-rich repeat protein kinase family protein	OsCLV2c;OsRLCK65
HORVU.MOREX.r3.7HG0715530	Leucine-rich repeat protein kinase family protein	OsCLV2c
HORVU.MOREX.r3.7HG0715570.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0715590	AT59;Pectate lyase family protein;Pectin lyase-like superfamily protein	OsPLL3, PLL3;OsPLL6, PLL6;OsPLL7, PLL7;OsPLL9, PLL9
HORVU.MOREX.r3.7HG0715600	histone deacetylase 1 (HD1);histone deacetylase 6 (HDA6);histone deacetylase7 (HDA7);histone deacetylase 9 (HDA9)	OsHDAC1, HDA702, OsHDA702, HDA1, OsHDA1, HDT702, OsHDT702;OsHDAC2, HDA710, OsHDA710;OsHDAC3, HDA703, OsHDA703
HORVU.MOREX.r3.7HG0715660	chlororespiration reduction 1 (crr1)	
HORVU.MOREX.r3.7HG0715810	EF-TU receptor (EFR);Leucine-rich repeat protein kinase family protein	OsRLCK65
HORVU.MOREX.r3.7HG0715820	unknown protein	
HORVU.MOREX.r3.7HG0715890	Major facilitator superfamily protein;nitrate transporter 1:2 (NRT1:2)	OsNRT1.2;OsPTR8, OsNPF8.5, NPF8.5;PTR;PTR, OsNPF4.5
HORVU.MOREX.r3.7HG0715910.1.CDS1	DNA/RNA helicase protein;Helicase protein with RING/U-box domain;SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related	
HORVU.MOREX.r3.7HG0715930	Mechanosensitive ion channel protein	
HORVU.MOREX.r3.7HG0716110.1.CDS1	ASH1-related protein 2 (ASHR2)	OsSET28, SDG740, OsSDG740
HORVU.MOREX.r3.7HG0716180	protein phosphatase 2A-2 (PP2A-1);protein phosphatase 2A-2 (PP2A-2);protein phosphatase 2A-4 (PP2A-4);serine/threonine protein phosphatase 2A (PP2A)	OsPP112, OsPP2Ac-4, PP2Ac-4;OsPP2A-1, PP2A1, OsPP88;OsPP2A-3, PP2A3, OsPP20;OsPP56, OsPP2Ac-2, PP2Ac-2
HORVU.MOREX.r3.7HG0716210	LOCATED IN: chloroplast	
HORVU.MOREX.r3.7HG0716220.1.CDS1	DNA/RNA polymerases superfamily protein	
HORVU.MOREX.r3.7HG0716290	FKBP-like peptidyl-prolyl cis-trans isomerase family protein	OsFKBP20-2
HORVU.MOREX.r3.7HG0716320	U-box domain-containing protein kinase family protein	OsPUB47, PUB47, OsRLCK207, OsUSP29, USP29, OsPUB47, PUB47;OsPUB48, PUB48, OsRLCK69, OsUSP10, USP10, OsPUB48, PUB48;OsPUB49, PUB49, OsRLCK307, OsUSP38, USP38, OsPUB49, PUB49;OsPUB51, PUB51, OsRLCK194, OsUSP27, USP27, OsPUB51, PUB51;OsRLCK39, OsUSP4, USP4
HORVU.MOREX.r3.7HG0716330	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
HORVU.MOREX.r3.7HG0716380	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;ACC oxidase 1 (ACO1);ACC oxidase 2 (ACO2);ethylene-forming enzyme (EFE)	OsACO1, ACO;OsACO2, OsACO1, ACO1;OsACO3, ACO2, OsACO2;OsACO7
HORVU.MOREX.r3.7HG0716390.1.CDS1	CONTAINS InterPro DOMAIN/s: Fanconi Anaemia group E protein, C-terminal (InterPro:IPR021025)	
HORVU.MOREX.r3.7HG0716400	beta-galactosidase 12 (BGAL12);beta galactosidase 1 (BGAL1);beta-galactosidase 2 (BGAL2)	OsBgal1, beta-gal, OsBGal1;OsBgal2, OsBGal2;OsBgal3, OsBGal3;OsBgal7, OsBGal7, CARSR12
HORVU.MOREX.r3.7HG0716430	tetraspanin2 (TET2);tetraspanin7 (TET7);tetraspanin8 (TET8);tetraspanin9 (TET9);TORNADO 2 (TRN2)	OsTET12;OsTET2;OsTET4;OsTET9
HORVU.MOREX.r3.7HG0716480	cytokinin oxidase 2 (CKX2);cytokinin oxidase 3 (CKX3);cytokinin oxidase 4 (CKX4);cytokinin oxidase 5 (CKX5)	Gn1a, OsCKX2, CKX2, ckx2, Gn1a/OsCKX2, Os CKX2, CKX2/Gn1a;OsCKX1;OsCKX10;OsCKX5, ckx5;OsCKX7
HORVU.MOREX.r3.7HG0716560.1.CDS1	NADH dehydrogenase subunit 4L (NAD4L)	
HORVU.MOREX.r3.7HG0716630.1.CDS1	MATR	
HORVU.MOREX.r3.7HG0716640	xyloglucan endotransglucosylase/hydrolase 28 (XTH28);xyloglucan endotransglucosylase/hydrolase 30 (XTH30);xyloglucan endotransglucosylase/hydrolase 32 (XTH32);xyloglucan endo-transglycosylase-related 8 (XTR8)	OsXTH19;OsXTH20, XET32;OsXTH21;OsXTH22;OsXTH28
HORVU.MOREX.r3.7HG0716720	natural resistance-associated macrophage protein 3 (NRAMP3);natural resistance associated macrophage protein 4 (NRAMP4);NRAMP5;NRAMP metal ion transporter 2 (NRAMP2)	OsNramp2, OsNRAMP2;OsNRAMP7
HORVU.MOREX.r3.7HG0716730	Translation elongation factor EF1B, gamma chain	eEF1Bgamma, EF-1gamma, OsEF1G1, EF1G1;OsEF1G2
HORVU.MOREX.r3.7HG0716740.1.CDS1	Protein phosphatase 2C family protein	OsBIPP2C1, OsPP45, PP45;OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP2C71, OsPP111;OsPP57
HORVU.MOREX.r3.7HG0716750.1.CDS1	Protein phosphatase 2C family protein	OsBIPP2C1, OsPP45, PP45;OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP2C71, OsPP111;OsPP57
HORVU.MOREX.r3.7HG0716760.1.CDS1	Protein phosphatase 2C family protein	OsBIPP2C1, OsPP45, PP45;OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP2C71, OsPP111;OsPP57
HORVU.MOREX.r3.7HG0716770.1.CDS1	Protein phosphatase 2C family protein	OsBIPP2C1, OsPP45, PP45;OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP2C71, OsPP111;OsPP57
HORVU.MOREX.r3.7HG0716780.1.CDS1	Protein phosphatase 2C family protein	OsBIPP2C1, OsPP45, PP45;OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP2C71, OsPP111;OsPP57
HORVU.MOREX.r3.7HG0716790.1.CDS1	Protein phosphatase 2C family protein	OsBIPP2C1, OsPP45, PP45;OsPP2C23, OsPP34;OsPP2C24, OsPP35;OsPP2C71, OsPP111;OsPP57
HORVU.MOREX.r3.7HG0716800	unknown protein	
HORVU.MOREX.r3.7HG0716810	histone deacetylase 2 (HDA2)	OsHDAC6, OsHDA706, HDA706
HORVU.MOREX.r3.7HG0716830	basic helix-loop-helix (bHLH) DNA-binding family protein	OsbHLH025, bHLH025, bHLH25;OsbHLH027, OsbHLH27, bHLH027, bHLH27, OsbHLH5, bHLH5;OsbHLH029;OsbHLH030
HORVU.MOREX.r3.7HG0716850	P-loop containing nucleoside triphosphate hydrolases superfamily protein;sulfotransferase 4B (ST4B)	
HORVU.MOREX.r3.7HG0716880	ATPase, V1 complex, subunit B protein	AtpB, OsRHA6;OsVHA-B2;OsVHA-B, VHA-B1, OsVHA-B1;RMtATPb, atpB, AtpB
HORVU.MOREX.r3.7HG0716900	Endomembrane protein 70 protein family;transmembrane nine 6 (TMN6);transmembrane nine 7 (TMN7)	
HORVU.MOREX.r3.7HG0716920	Cupredoxin superfamily protein;Plant L-ascorbate oxidase	OsAAO1;OsAAO2, L-APX, RIP5, OsRIP5;OsAAO5;OsLAC2;OsORAP1, OzT9, AO, OsAAO4, AAO4
HORVU.MOREX.r3.7HG0716940	Cupredoxin superfamily protein;Plant L-ascorbate oxidase	OsAAO1;OsAAO2, L-APX, RIP5, OsRIP5;OsAAO5;Oslacc, lacc, OsLAC4, OsLAC17, LAC17;OsORAP1, OzT9, AO, OsAAO4, AAO4
HORVU.MOREX.r3.7HG0716990	XIE;XIK	
HORVU.MOREX.r3.7HG0717010	unknown protein	
HORVU.MOREX.r3.7HG0717050	unknown protein	
HORVU.MOREX.r3.7HG0717060.1.CDS1	Protein of unknown function (DUF761)	
HORVU.MOREX.r3.7HG0717130.1.CDS1	hAT family dimerisation domain;TTF-type zinc finger protein with HAT dimerisation domain	
HORVU.MOREX.r3.7HG0717180	iron regulated transporter 3 (IRT3);zinc transporter 4 precursor (ZIP4)	OsZIP10;OsZIP5, OsZIP8, ZIP8, OsZIP9;OsZIP7;OsZIP8, OsZIP1, ZIP1, OsZIP13, ZIP13
HORVU.MOREX.r3.7HG0717180	iron regulated transporter 3 (IRT3);zinc transporter 4 precursor (ZIP4)	OsIRT1, ZIP10, OsZIP10, OsZIP12, ZIP12;OsZIP10;OsZIP5, OsZIP8, ZIP8, OsZIP9;OsZIP7
HORVU.MOREX.r3.7HG0717200	RNA-binding (RRM/RBD/RNP motifs) family protein	OsRBGD3, RRM1-165, OsRRM1-165;OsRBP-D, RBP-D, RRM1-122, OsRRM1-122;OSRBPK, RBP-K, OsRBP-K, RRM1-156, OsRRM1-156;RBPI, RBP-I, RRM1-26, OsRRM1-26
HORVU.MOREX.r3.7HG0717230	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	osALA2
HORVU.MOREX.r3.7HG0717270	SMAD/FHA domain-containing protein 	
HORVU.MOREX.r3.7HG0717290	heat shock transcription factor A1D (HSFA1D);heat shock transcription factor A2 (HSFA2);heat shock transcription factor  A6B (HSFA6B)	HSfA2b, OsHsfA2b, OsHsf-18, rHsf5, HS1, HSF18, OsHSF18, HSF5, OsHSF5;HSfA2c, OsHsfA2c, OsHsf-25, rHsf6, OsHSF6, HSF25, OsHSF25, HSF6, OsHsfA6a, HsfA6a;HSfA2d, OsHsfA2d, OsHsf-08, rHsf7, HSF08, OsHSF8, HSF8, HSF7, OsHSF7, OsHSFA2dI, OsHSFA2dII, OsHSFA2dIII, OsHsfA6b, HsfA6b, OsHsf2d, Hsf2d, HTG3, OsHTG3;HSfA2e, OsHsfA2e, OsHsf-12, OsHSF12, HSF12, OsHsfA2a, HsfA2a;HSfA6, OsHsfA6, OsHsf-17, HSF17, OsHSF17, HSFA6A, OsHsfA2f, HsfA2f, OsHsfA7b, HsfA7b
HORVU.MOREX.r3.7HG0717330.1.CDS1	Pentatricopeptide repeat (PPR-like) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPILS5, PILS5
HORVU.MOREX.r3.7HG0717380	O-acetylserine (thiol) lyase B (OASB);O-acetylserine (thiol) lyase isoform C (OASC)	OsOAS-TL, OAS-TL
HORVU.MOREX.r3.7HG0717390	beta glucosidase 40 (BGLU40);beta glucosidase 41 (BGLU41);B-S glucosidase 44 (BGLU44)	Os10bglu34, Os10Bglu34;Os3bglu6, Os3BGlu6, 3BGlu6;Os4bglu11, Os4BGlu11;Os4bglu12, Os4BGlu12, 4BGlu12, OsTAGG2, TAGG2;Os6bglu25, Os6Bglu25
HORVU.MOREX.r3.7HG0717400.1.CDS1	inflorescence meristem receptor-like kinase 2 (IMK2);Leucine-rich repeat protein kinase family protein;meristematic receptor-like  kinase (MRLK);transmembrane kinase-like 1 (TMKL1)	OsPRK
HORVU.MOREX.r3.7HG0717480	Metallo-hydrolase/oxidoreductase superfamily protein	
HORVU.MOREX.r3.7HG0717530	TRIACYLGLYCEROL BIOSYNTHESIS DEFECT 1 (TAG1)	OsDGAT1-2;OsDGAT, DGAT, OsDGAT1-1
HORVU.MOREX.r3.7HG0717590	ATB BETA;protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (B ALPHA)	
HORVU.MOREX.r3.7HG0717610	N-MYC downregulated-like 1 (NDL1);N-MYC downregulated-like 2 (NDL2);N-MYC downregulated-like 3 (NDL3)	SF21
HORVU.MOREX.r3.7HG0717640	embryo defective 1579 (emb1579)	
HORVU.MOREX.r3.7HG0717660.1.CDS1	structural maintenance of chromosomes 5 (SMC5)	SMC5
HORVU.MOREX.r3.7HG0717680.1.CDS1	Aminotransferase-like, plant mobile domain family protein;hydrolases	
HORVU.MOREX.r3.7HG0717710	MEI2 C-terminal RRM only like 1 (MCT1);MEI2 C-terminal RRM only like 2 (MCT2);terminal EAR1-like 1 (TEL1);terminal EAR1-like 2 (TEL2)	pla2, pla2(pla2-1, pla2-2), plt2, LHD2, OsLHD2, RRM1-14, OsRRM1-14
HORVU.MOREX.r3.7HG0717720	TCP-1/cpn60 chaperonin family protein	
HORVU.MOREX.r3.7HG0717740	BEL1-like homeodomain 2 (BLH2);homeobox gene 1 (ATH1)	OsBIHD1;OsROSES1
HORVU.MOREX.r3.7HG0717820.1.CDS1	PYR1-like 2 (PYL2);PYR1-like 3 (PYL3);PYR1-like 6 (PYL6);PYRABACTIN RESISTANCE 1-LIKE 5 (PYL5);PYRABACTIN RESISTANCE 1 (PYR1)	OsPYL/RCAR10, OsRCAR10, RCAR10, PYL10, OsPYL10, OsPYL1, PYL1, OsR10, R10, OsPYL/R10;OsPYL/RCAR2, PYL2, OsPYL2, OsPYL3, PYL3;OsPYL/RCAR4, PYL4, OsPYL4, OsPYL6, PYL6;OsPYL/RCAR5, PYL5, OsPYL5, OsPYL11, PYL11;OsPYL/RCAR9, PYL9, OsPYL9, OsPYL2, PYL2
HORVU.MOREX.r3.7HG0717840	multidrug resistance-associated protein 6 (MRP6)	OsABCC11, ABCC11, OsMRP11, OsABCC8;OsABCC14, OsMRP14, OsABCC14-1, OsABCC14-2, OsABCC8, ABCC8;OsABCC15, OsMRP15
HORVU.MOREX.r3.7HG0717850	K+ efflux antiporter 3 (KEA3);K+ efflux antiporter 4 (KEA4);K+ efflux antiporter 5 (KEA5);K+ efflux antiporter 6 (KEA6)	OsAM1, AM1, OsKEA2, OsKEA1, KEA1;OsKEA1;OsKEA3;OsKEA4
HORVU.MOREX.r3.7HG0717870	myo-inositol oxygenase 1 (MIOX1);myo-inositol oxygenase 4 (MIOX4)	OsMIOX
HORVU.MOREX.r3.7HG0717880	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP24;OsGELP25;OsGELP46, OsGELP46a, OsGELP46b;OsGELP86;OsGELP95
HORVU.MOREX.r3.7HG0717890	PPPDE putative thiol peptidase family protein	OsSTA68
HORVU.MOREX.r3.7HG0717900	NAC domain containing protein 10 (NAC010);NAC domain containing protein 73 (NAC073);NAC domain containing protein 99 (NAC099)	ONAC003, ONAC3, ONAC016, ONAC16, SNAC3, OsSND3, SND3, OsNAC006, NAC006, ONAC066;ONAC073, ONAC73, OsSND2, SND2;ONAC094, ONAC94
HORVU.MOREX.r3.7HG0717930	iron regulated 2 (IREG2)	OsFPN1
HORVU.MOREX.r3.7HG0717940	HAD superfamily, subfamily IIIB acid phosphatase 	OsVSP2
HORVU.MOREX.r3.7HG0717970	nuclear poly(a) polymerase (nPAP)	
HORVU.MOREX.r3.7HG0717980.1.CDS1	MATE efflux family protein;ZF14	OsMATE6, MATE6, OsPTM97-1
HORVU.MOREX.r3.7HG0718040	CLAVATA 1 (CLV1);HAESA (HAE);HAESA-like 1 (HSL1);HAESA-like 2 (HSL2);Protein kinase family protein with leucine-rich repeat domain	
HORVU.MOREX.r3.7HG0718050	EXS (ERD1/XPR1/SYG1) family protein;phosphate 1 (PHO1)	OsPHO1;1;OsPHO1;2, PHO1.2, OsPHO1.2, PHO1;OsPHO1;3, OsPHT1
HORVU.MOREX.r3.7HG0718080	amino acid permease 1 (AAP1);amino acid permease 2 (AAP2);amino acid permease 5 (AAP5);amino acid permease 8 (AAP8)	OsAAP11C, OsAAP11, AAP11;OsAAP11F, OsAAP7, AAP7, FCO7;OsAAP12A, OsAAP3, AAP3;OsAAP12B, OsAAP18, AAP18;OsAAP12C, OsAAP2, AAP2
HORVU.MOREX.r3.7HG0718110	galactosyltransferase1 (GALT1);Galactosyltransferase family protein	GalT
HORVU.MOREX.r3.7HG0718130	amino acid permease 1 (AAP1);amino acid permease 3 (AAP3);amino acid permease 5 (AAP5);amino acid permease 8 (AAP8)	OsAAP11C, OsAAP11, AAP11;OsAAP11F, OsAAP7, AAP7, FCO7;OsAAP12A, OsAAP3, AAP3;OsAAP12B, OsAAP18, AAP18;OsAAP12C, OsAAP2, AAP2
HORVU.MOREX.r3.7HG0718140	initiator tRNA phosphoribosyl transferase family protein	
HORVU.MOREX.r3.7HG0718170	PENETRATION 3 (PEN3);pleiotropic drug resistance 12 (PDR12);pleiotropic drug resistance 1 (PDR1);pleiotropic drug resistance 7 (PDR7)	OsABCG34, OsPDR10, OsPDR1;OsABCG42, ABCG42, OsPDR12, OsABCG42_1, OsABCG42_2;OsPDR8, PDR4, P0410E03.16, OsABCG37, OsPDR4;OsPDR9, ospdr9, OsPDR3, PDR3, OsABCG36/OsPDR9, OsABCG36
HORVU.MOREX.r3.7HG0718190	PENETRATION 3 (PEN3);pleiotropic drug resistance 12 (PDR12);pleiotropic drug resistance 1 (PDR1);pleiotropic drug resistance 7 (PDR7)	OsABCG34, OsPDR10, OsPDR1;OsABCG42, ABCG42, OsPDR12, OsABCG42_1, OsABCG42_2;OsPDR8, PDR4, P0410E03.16, OsABCG37, OsPDR4;OsPDR9, ospdr9, OsPDR3, PDR3, OsABCG36/OsPDR9, OsABCG36
HORVU.MOREX.r3.7HG0718200	P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsKCH1, KCH1, OsKCH, KCH, O12;OsKIN14M;OsPHP3, Hpt5, OsHP4, HP4, OsHpt5, OsHpt5a, OsHpt5b, OsHpt5c;OsSTA55
HORVU.MOREX.r3.7HG0718270.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0718430.1.CDS1	Protein of unknown function (DUF1677)	
HORVU.MOREX.r3.7HG0718460.1.CDS1	SWIM zinc finger family protein / mitogen-activated protein kinase kinase kinase (MAPKKK)-related	OsMEL, OsRING460, RING460
HORVU.MOREX.r3.7HG0718470	early nodulin-like protein 7 (ENODL7)	OsENODL17, ENODL17, OsNRFG3
HORVU.MOREX.r3.7HG0718480.1.CDS1	Integrase-type DNA-binding superfamily protein;TINY2 (TINY2);TINY (tny)	OsERF#032, OsERF032, OsERF32, AP2/EREBP#021, AP2/EREBP21, OsDREB2B;OsERF#034, OsERF034, OsERF34, AP2/EREBP#042, AP2/EREBP42;OsERF#038, OsERF038, OsERF38, AP2/EREBP#082, AP2/EREBP82, OsDREB4-1;OsERF#039, OsERF039, OsERF39, AP2/EREBP#002, AP2/EREBP2;OsERF#122, OsERF122, AP2/EREBP#056, AP2/EREBP56
HORVU.MOREX.r3.7HG0718540	heat shock transcription factor A2 (HSFA2);heat shock transcription factor  A6B (HSFA6B);heat shock transcription factor  C1 (HSFC1)	HSfA2c, OsHsfA2c, OsHsf-25, rHsf6, OsHSF6, HSF25, OsHSF25, HSF6, OsHsfA6a, HsfA6a;HSfC1a, OsHsfC1a, OsHsf-02, OsHSF2, HSF2, rHsf13, HSF02, HSF13;HSfC2a, OsHsfC2a, OsHsf-05, HSF05, OsHSF5, HSF5;HSfC2b, OsHsfC2b, OsHsf-16, HSF16, OsHSF16
HORVU.MOREX.r3.7HG0718560.1.CDS1	O-methyltransferase 1 (OMT1);O-methyltransferase family protein;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	COMT, OsCOMT, ROMT-9, OsCOMT1, OsCAldOMT1, CAldOMT1, OsOMT, OsCOMT15, COMT15, OsSPL42, SPL42;OsCOMTL2, OsCOMT3, COMT3;OsCOMTL5, OsCOMT4, COMT4;OsCOMTL6, OsCOMT5, COMT5, OsCOMTL4, COMTL4;OsNOMT, COMTL3, OsCOMTL3, OsCOMT29, COMT29
HORVU.MOREX.r3.7HG0718570	RING/FYVE/PHD-type zinc finger family protein	OsFYVE04, FYVE04, OsFYVE4;OsFYVE13;OsFYVE15
HORVU.MOREX.r3.7HG0718610	BES1/BZR1 homolog 3 (BEH3);BES1/BZR1 homolog 4 (BEH4);BRASSINAZOLE-RESISTANT 1 (BZR1)	OsBZR1, Os BZR1, OsBES1-6, BES1-6;OsBZR2, OsBES1-2, BES1-2;OsBZR3, OsBES1-5, BES1-5;OsBZR4, OsBES1-4, BES1-4
HORVU.MOREX.r3.7HG0718670.1.CDS1	lectin protein kinase family protein;S-domain-2 5 (SD2-5);S-locus lectin protein kinase family protein	OsMAK7
HORVU.MOREX.r3.7HG0718710	ARA-2;RAB GTPase homolog A1B (RABA1b);RAB GTPase homolog A1C (RABA1c);RAB GTPase homolog A1D (RABA1d);RAB GTPase homolog A1F (RABA1f)	OsRab11C2;OsRab11C3;OsRab11D1, OsRab11, Rab11, ric2;OsRab11D2;OsRab11D3
HORVU.MOREX.r3.7HG0718720.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0718760.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718770.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718830.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718840.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718850.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718870.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718890.1.CDS1	FAD-binding Berberine family protein	
HORVU.MOREX.r3.7HG0718900	aspartate aminotransferase 1 (ASP1);aspartate aminotransferase 2 (ASP2);aspartate aminotransferase 3 (ASP3);aspartate aminotransferase 4 (ASP4)	AST, OsAAT1;OsAAT3
HORVU.MOREX.r3.7HG0718930	peroxidase 2 (PA2);Peroxidase superfamily protein	prx30, OsPrx30;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
HORVU.MOREX.r3.7HG0718930	Peroxidase superfamily protein	prx25;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
HORVU.MOREX.r3.7HG0718940	peroxidase 2 (PA2);Peroxidase superfamily protein	prx25;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
HORVU.MOREX.r3.7HG0718950	peroxidase 2 (PA2);Peroxidase superfamily protein	prx25;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
HORVU.MOREX.r3.7HG0718970.1.CDS1	unknown protein	
