QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_6BG0492510	Ubiquitin-like superfamily protein	
QOZ80_6BG0492520	WRKY DNA-binding protein 2 (WRKY2);WRKY DNA-binding protein 33 (WRKY33);WRKY DNA-binding protein 34 (WRKY34)	OsWRKY30;OsWRKY90
QOZ80_6BG0492530	unknown protein	
QOZ80_6BG0492540	UBX domain-containing protein	OsPUX10A;OsPUX10B
QOZ80_6BG0492550	Eukaryotic aspartyl protease family protein	
QOZ80_6BG0492560	Eukaryotic aspartyl protease family protein	
QOZ80_6BG0492570	Eukaryotic aspartyl protease family protein	
QOZ80_6BG0492620	hydroxyproline-rich glycoprotein family protein	OsEULD1a, EULD1a, OrysaEULD1A, OSR40 g2, OSR40g2, R40g2;OsEULD1b, EULD1b, Osr40c1, r40c1, OSR40c1, OrysaEULD1B;OsEULD2, EULD2, OrysaEULD2, OSR40c2, R40c2
QOZ80_6BG0492690	heat shock protein 81-2 (HSP81-2);heat shock protein 81-3 (HSP81-3);HEAT SHOCK PROTEIN 81.4 (Hsp81.4);heat shock protein 90.1 (HSP90.1)	OsHSP82A, hsp82A, HSP90, OsHSP90, OsHSP81, HSP81;OsHSP82, hsp82B, HSP82;OsHsp90, HSP90
QOZ80_6BG0492700	CPZ;tRNAse Z1 (TRZ1)	OsaTRZ2, OsTRZ2;OsTMS5, TRZ1, OsTRZ1, OsaTRZ1, ELAC1/TMS5, ELAC1, OsELAC1
QOZ80_6BG0492710	lipid-binding serum glycoprotein family protein	
QOZ80_6BG0492720	Protein of unknown function (DUF1664)	EP
QOZ80_6BG0492730	FASCICLIN-like arabinogalactan-protein 11 (FLA11);FASCICLIN-like arabinogalactan-protein 12 (FLA12);FASCICLIN-like arabinoogalactan 7 (FLA7);FASCICLIN-like arabinoogalactan 9 (FLA9)	OsFLA13;OsFLA14;OsFLA27;OsFLA5;OsFLA8
QOZ80_6BG0492740	Calcium-binding EF-hand family protein	OsSUR1
QOZ80_6BG0492750	ATP phosphoribosyl transferase 1 (ATP-PRT1);ATP phosphoribosyl transferase 2 (ATP-PRT2)	
QOZ80_6BG0492760	related to ubiquitin 1 (RUB1);ubiquitin 7 (UBQ7);ubiquitin extension protein 1 (UBQ1);Ubiquitin supergroup	Ub-CEP52-2;UbL40-1, OsUbL40-1;ZIURP1, Ub-CEP52-1
QOZ80_6BG0492790	DNA primase, large subunit family	
QOZ80_6BG0492800	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	JMJ714
QOZ80_6BG0492820	ubiquitin-protein ligase 1 (UPL1);ubiquitin-protein ligase 2 (UPL2);ubiquitin protein ligase 5 (UPL5);ubiquitin protein ligase 6 (UPL6)	OsHECT4, HECT4, OsUPL6;OsHECT6, HECT6, OsUPL1;OsHECT7, HECT7, OsUPL5;OsLARGE2, OsUPL2, UPL2, OsHECT8, HECT8
QOZ80_6BG0492840	pirin (PRN);pirin, putative;RmlC-like cupins superfamily protein	OsPRN
QOZ80_6BG0492850	tonoplast dicarboxylate transporter (TDT)	
QOZ80_6BG0492870	DEFECTIVELY ORGANIZED TRIBUTARIES 5 (DOT5);NO TRANSMITTING TRACT (NTT);WIP domain protein 3 (WIP3);WIP domain protein 4 (WIP4);WIP domain protein 5 (WIP5)	OsWIP6;OsZOS1-17;OsZOS6-05;OsZOS8-10;OsZOS9-02
QOZ80_6BG0492890	MSF1-like family protein	
QOZ80_6BG0492910	A20/AN1-like zinc finger family protein	OsDOG, OsSAP11, DOG;Osi-SAP1, ISAP1, OsiSAP1, OSISAP1, OsSAP1;Osi-SAP8, OsiSAP8, OsSAP8, OsSAP1, SAP1
QOZ80_6BG0492920	AGC2-1;AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein;PINOID (PID);Protein kinase superfamily protein	OsAGC18;OsAGC24;OsAGC6
QOZ80_6BG0492930	nucleolar protein gar2-related	
QOZ80_6BG0492950	Pectin lyase-like superfamily protein	OsPGL25, PGL25;OsPGL28, PGL28;OsPGL35, PGL35
QOZ80_6BG0492960	ribosomal RNA processing 4 (RRP4)	
QOZ80_6BG0492970	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH111, bHLH111, HBP1, OsHBP1, OsSGI1;OsbHLH143, OsbHLH130, bHLH130;OsFBH1, OsbHLH112, DLN213, OsDLN213, Gn8.1, OsGn8.1, POH1, OsPOH1
QOZ80_6BG0492980	glucose-6-phosphate acetyltransferase 1 (GNA1)	OsGNA1, HAG722, OsHAG722;OsHAG719
QOZ80_6BG0492990	unknown protein	
QOZ80_6BG0493000	unknown protein	
QOZ80_6BG0493010	unknown protein	
QOZ80_6BG0493020	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	JMJ712
QOZ80_6BG0493030	beta glucosidase 16 (BGLU16);beta glucosidase 17 (BGLU17);beta glucosidase 32 (BGLU32);DARK INDUCIBLE 2 (DIN2)	Os8bglu27, OsBGlu27;Os8bglu28, OsBGlu28;Os9bglu29, OsBGlu29, OsBGLU29;Os9bglu30, OsBGlu30, bglu 2, bglu2, BGlu2
QOZ80_6BG0493040	bZIP transcription factor family protein	OsbZIP70;OsbZIP74, OsTGA10, TGA10
QOZ80_6BG0493050	ETHYLENE-INSENSITIVE3 (EIN3);Ethylene insensitive 3 family protein;ETHYLENE-INSENSITIVE3-like 1 (EIL1);ETHYLENE-INSENSITIVE3-like 3 (EIL3)	EIL1, OsEIL1, EIL1a, OsEIL1a, MHZ6/OsEIL1, MHZ6, OsMHZ6;OsEIL1, EIN3, OsEIN3, MHZ6, OsEIL1a, EIL1a, OsEIL1b, EIL1b;OsEIL3;OsEIL4
QOZ80_6BG0493060	beta glucosidase 31 (BGLU31);beta glucosidase 32 (BGLU32);beta glucosidase 42 (BGLU42);DARK INDUCIBLE 2 (DIN2)	Os8bglu27, OsBGlu27;Os8bglu28, OsBGlu28;Os9bglu29, OsBGlu29, OsBGLU29;Os9bglu30, OsBGlu30, bglu 2, bglu2, BGlu2
QOZ80_6BG0493080	squamosa promoter binding protein-like 15 (SPL15);squamosa promoter binding protein-like 2 (SPL2);squamosa promoter binding protein-like 9 (SPL9)	OsSPL12, DLN176, OsDLN176;OsSPL14, SPL14, IPA1, WFP/IPA1, OsSPL14/WFP/IPA1, OsIPA1, IPA1/OsSPL14;OsSPL17
QOZ80_6BG0493100	DNA-DAMAGE REPAIR/TOLERATION 100 (DRT100);FLOR1 (FLR1);Leucine-rich repeat (LRR) family protein;polygalacturonase inhibiting protein 1 (PGIP1);polygalacturonase inhibiting protein 2 (PGIP2)	OsFOR1, Osfor1, OsPGIP5, PGIP5;Ospgip3, pgip3, OsPGIP3;Ospgip4, pgip4, OsPGIP4;Ospgip7, pgip7, OsPGIP7
QOZ80_6BG0493110	Emsy N Terminus (ENT) domain-containing protein;Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein	
QOZ80_6BG0493120	DNA-binding bromodomain-containing protein	OsBrd2, Brd2
QOZ80_6BG0493150	unknown protein	
QOZ80_6BG0493160	AT hook motif DNA-binding family protein;AT-hook motif nuclear-localized protein 1 (AHL1)	OsAHL16, OsAHL19, AHL19;OsAHL18, OsAHL24, AHL24;OsAHL2, OsAHL23, AHL23
QOZ80_6BG0493170	Auxin efflux carrier family protein	OsPILS1;OsPILS7a, PILS7a, OsPINL2;OsPILS7b, PILS7b
QOZ80_6BG0493180	ATU2AF35A;U2AF35B;Zinc finger C-x8-C-x5-C-x3-H type family protein	OsC3H38, U2AF35B, OsU2AF35b, OsC3H41, C3H41;OsC3H60, U2AF35a, U2AF35A, OsU2AF35a, RRM1-179, OsRRM1-179, OsC3H66, C3H66, U2AF35C, OsU2AF35C
QOZ80_6BG0493190	chloroplast heat shock protein 70-1 (cpHsc70-1);chloroplast heat shock protein 70-2 (CPHSC70-2EAT SHOCK PROTEIN 70-2);mitochondrial heat shock protein 70-1 (mtHsc70-1);mitochondrial HSO70 2 (MTHSC70-2)	OsHsp58.7, OsHSP58.7, OsISC25, ISC25;OsHsp70CP1, cpHSP70-1, OsHsp70cp-1, Hsp70cp-1;OsISC23;OsISC24, HSP70, OsHSP70
QOZ80_6BG0493200	NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16;OsCCR7;OsCCR8
QOZ80_6BG0493210	NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16;OsCCR7;OsCCR8
QOZ80_6BG0493220	NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16
QOZ80_6BG0493230	NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16
QOZ80_6BG0493240	NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16
QOZ80_6BG0493250	NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR16
QOZ80_6BG0493260	3-hydroxy-3-methylglutaryl-CoA reductase 2 (HMG2);hydroxy methylglutaryl CoA reductase 1 (HMG1)	HMGR III, OsHMGRIII, Hmg3, HMGR3, HMGR 3, OsHMGR3, HMGR2, OsHMGR2, OsOMT;HMGR II, OsHMGRII, Hmg2, HMGR2, HMGR 2, OsHMGR2, OsHMGR2, HMGR1, OsHMGR1;HMGR I, OsHMGRI, Hmg1, HMGR1, HMGR 1, OsHMGR1
QOZ80_6BG0493280	FUNCTIONS IN: molecular_function unknown	
QOZ80_6BG0493290	Cysteine/Histidine-rich C1 domain family protein	
QOZ80_6BG0493300	proliferating cell nuclear antigen 2 (PCNA2);proliferating cellular nuclear antigen 1 (PCNA1)	OsPCNA
QOZ80_6BG0493320	unknown protein	
QOZ80_6BG0493330	Protein of unknown function, DUF547	OsTCF
QOZ80_6BG0493340	Lojap-related protein	
QOZ80_6BG0493350	dihydroflavonol 4-reductase-like1 (DRL1);NAD(P)-binding Rossmann-fold superfamily protein	OsCADL, OsCCRL11, CCRL11;OS-CCR, OsCCR, CCR, OsCCR20, OsCCR14, CCR14, OsCCR2, CCR2;OS-DFR3, OsDFR3, OsDFR7, DFR7;OsTKPR1, TKPR1, OsDFR2, OS-DFR2, OsDFR2A, DFR2A, OsCCRL1, CCRL1;OsTKPR2
QOZ80_6BG0493360	NAC domain containing protein 16 (NAC016);NAC domain containing protein 17 (NAC017)	ONAC036, ONAC36, ONAC038, ONAC38, IDEF2, OsIDEF2;OsNAC42, ONAC042, ONAC42, ONAC051, ONAC51, OsNTL4, NTL4
QOZ80_6BG0493370	DNAJ heat shock N-terminal domain-containing protein	OsDjC19;OsDjC51;OsDjC65;OsDjC70
QOZ80_6BG0493380	Chitinase family protein;chitinase-like protein 2 (CTL2);POM-POM1 (POM1)	Cht10;Cht3*, Cht3, Cht-3, CH6, OsChia1c, CHI7, OsCHI11, CHI11, OsPR3, PR3;OsCTL1, CHIT13, OsCHIT13
QOZ80_6BG0493390	methyl-CPG-binding domain 12 (MBD12);methyl-CPG-binding domain protein 02 (MBD02)	OsMBD701;OsMBD703;OsMBD706
QOZ80_6BG0493410	Protein of unknown function, DUF599	
QOZ80_6BG0493420	DPP6 N-terminal domain-like protein;eukaryotic translation initiation factor 3B-2 (EIF3B-2);translation initiation factor 3B1 (TIF3B1)	eIF-3b, OseIF3b, RRM1-193, OsRRM1-193
QOZ80_6BG0493490	Mitochondrial substrate carrier family protein;SODIUM HYPERSENSITIVE 1 (SHS1)	BTI-1;OsBT1-2;OsBT1-3, SLA
QOZ80_6BG0493510	FUNCTIONS IN: molecular_function unknown	
QOZ80_6BG0493520	Cysteine proteinases superfamily protein;senescence-associated gene 12 (SAG12);xylem bark cysteine peptidase 3 (XBCP3);xylem cysteine peptidase 1 (XCP1)	AM39;OsSAG12;OsSAG12, SAG12;REP-1, OsREP-1, OsREP1, OsSAG12-1, SAG12-1, OsEnS-21
QOZ80_6BG0493530	DNA repair ATPase-related;embryo defective 1353 (emb1353);myosin heavy chain-related	BIP129;OsATG16
QOZ80_6BG0493540	Arabidopsis NAC domain containing protein 39 (ANAC039);NAC domain containing protein 100 (NAC100);NAC domain containing protein 38 (NAC038);NAC domain containing protein 58 (NAC058);NAC domain containing protein 80 (NAC080)	NAC2, OsNAC2, ONAC004, ONAC4, ONAC034, ONAC34, ONAC058, ONAC58, OMTN2, Ostil1, OsNAC2/ONAC004, OsORE1.2, DLN113, OsDLN113;ONAC006, ONAC6, DLN95, OsDLN95;ONAC072, ONAC72, DLN228, OsDLN228;OsNAM, OMTN5, ONAC092, ONAC92, NAC92, CUC2, OsNAM/CUC2, DLN165, OsDLN165, OsCUC1, CUC1, OsNAM/ OMTN5, OsNAM1, NAM1
QOZ80_6BG0493550	Ribosomal protein S16 family protein;small subunit ribosomal protein 16 (SSR16)	RPS16, OsRPS16, rps16
QOZ80_6BG0493560	Pathogenesis-related thaumatin superfamily protein	
QOZ80_6BG0493570	FAD-dependent oxidoreductase family protein	
QOZ80_6BG0493600	FAD-dependent oxidoreductase family protein	
QOZ80_6BG0493610	HUA ENHANCER 4 (HEN4);RNA-binding KH domain-containing protein	OsKH2;OsKH20;OsKH27
QOZ80_6BG0493630	O-fucosyltransferase family protein	
QOZ80_6BG0493690	NADH:ubiquinone oxidoreductase, 17.2kDa subunit	
QOZ80_6BG0493710	5PTASE13;Endonuclease/exonuclease/phosphatase family protein;FRAGILE FIBER3 (FRA3)	d12(d50), dwf11, d50, d12, d32, F71, DMT9, MTS1, OsMTS1
QOZ80_6BG0493720	DNA topoisomerase, type IA, core;topoisomerase 3alpha (TOP3A)	TOP3;TOP3, TOP3alpha
QOZ80_6BG0493730	Auxin-responsive family protein	OsDUF568.1;OsDUF568.3;OsDUF568.5;OsDUF568.6;OsDUF568.7
QOZ80_6BG0493740	Auxin-Induced in Root cultures 12 (AIR12);Auxin-responsive family protein;Cytochrome b561/ferric reductase transmembrane with DOMON related domain	OsDUF568.4;OsDUF568.5;OsDUF568.6;OsDUF568.7
QOZ80_6BG0493750	Ribosomal protein L32e	rpL32_8.1;rpL32_9.1;rpL32_9.3, RPL32, OsrpL32_9.3, OsRPL32
QOZ80_6BG0493760	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH092, bHLH092, OsbHLH92, bHLH92, OsLam1
QOZ80_6BG0493770	Ribosomal protein L32e	rpL32_8.1;rpL32_9.1;rpL32_9.2;rpL32_9.3, RPL32, OsrpL32_9.3, OsRPL32
QOZ80_6BG0493780	FK506- and rapamycin-binding protein 15 kD-2 (FKBP15-2);FK506-binding protein 15 kD-1 (FKBP15-1);FKBP-type peptidyl-prolyl cis-trans isomerase family protein;rotamase FKBP 1 (ROF1)	OsFKBP15-1;OsFKBP15-2
QOZ80_6BG0493800	maternal effect embryo arrest 48 (MEE48);O-Glycosyl hydrolases family 17 protein	Gns9, OsGns9, OsPR8a, PR8a, OsBGL12, BGL12, BG12, OsBG12;OsA6
QOZ80_6BG0493810	maternal effect embryo arrest 67 (MEE67);Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	
QOZ80_6BG0493820	GroES-like zinc-binding alcohol dehydrogenase family protein;Oxidoreductase, zinc-binding dehydrogenase family protein	
QOZ80_6BG0493870	AT-HSFA5;heat shock factor 3 (HSF3);heat shock transcription factor A1E (HSFA1E);heat shock transcription factor A2 (HSFA2)	HSfA2b, OsHsfA2b, OsHsf-18, rHsf5, HS1, HSF18, OsHSF18, HSF5, OsHSF5;HSfA2e, OsHsfA2e, OsHsf-12, OsHSF12, HSF12, OsHsfA2a, HsfA2a;HSfA5, OsHsfA5, OsHsf-06, HSF06, OsHSF6, HSF6;OsHsfA1, HsfA1, OsHSF13, HSF13, OsHsf-13, HSF3, rHsf3, OsHsfA1a;OsHsfA4a, OsHsf-04, HSFA4B, HSF04, OsHSF4, HSF4, HSF9, OsHsfA4b, OsHSF9
QOZ80_6BG0493880	unknown protein	
QOZ80_6BG0493890	DEMETER (DME);demeter-like 1 (DML1)	DML3a, OsDML3a;OsROS1B;OsROS1D, ROS1D, ROS1d, ROS1D/DNG704, OsDNG704;ROS1A, ROS1a, DME1, OsROS1A, OsROS1, ROS1, mOsROS1, ROS1A/DNG702, DNG702, OsDNG702;ROS1C, ROS1c, Os ROS1C, DME2, OsDNG701, ROS1C/DNG701
QOZ80_6BG0493900	Oxidoreductase, zinc-binding dehydrogenase family protein	
QOZ80_6BG0493910	UDP-D-glucuronate 4-epimerase 1 (GAE1);UDP-D-glucuronate 4-epimerase 2 (GAE2);UDP-D-glucuronate 4-epimerase 3 (GAE3);UDP-D-glucuronate 4-epimerase 4 (GAE4);UDP-D-glucuronate 4-epimerase 6 (GAE6)	OsUGlcAE1, UGlcAE1;OsUGlcAE2, OsUGA4E, UGA4E;OsUGlcAE3, UGlcAE3;OsUGlcAE4, UGlcAE4;OsUGlcAE5, UGlcAE5, OsSTA172
QOZ80_6BG0493920	Cyclin family protein	OsCycC_1, CycC_1
QOZ80_6BG0493940	unknown protein	
QOZ80_6BG0493950	unknown protein	
QOZ80_6BG0493960	Major facilitator superfamily protein;sugar transporter 11 (STP11);sugar transporter 1 (STP1);sugar transporter protein 12 (STP12)	OsFCO10, OsSTP13, STP13;OsMST8, OSMST8, OsSTP8, STP8;OsSTP23;OsSTP27
QOZ80_6BG0493980	RING/U-box superfamily protein	OsRING379;OsRING380, RING380, OsCHALK9, Chalk9
QOZ80_6BG0493990	ubiquitin-specific protease 1 (UBP1);ubiquitin-specific protease 2 (UBP2)	OsUBP1-1, OsUBP29, UBP29;OsUBP1-2, OsUBP30, UBP30;OsUBP1-4, OsUBP2, UBP2;OsUBP1-5, OsUBP31, UBP31;UBP1-9, OsUBP1-9, OsUBP1, UBP1, OsLMP1, RSR1, OsRSR1, OsUBP2, UBP2
QOZ80_6BG0494000	Acyl-ACP thioesterase;fatA acyl-ACP thioesterase (FaTA);fatty acyl-ACP thioesterases B (FATB)	FATB1, OsFATB1;OsFatA, FatA
QOZ80_6BG0494010	ETHYLENE INSENSITIVE ROOT 1 (EIR1);PIN-FORMED 5 (PIN5);PIN-FORMED 8 (PIN8)	OsPIN5a, OsPIN6;OsPIN8;OsPIN9;PIN5B, OsPIN5b, OsPIN5c;PIN5C, OsPIN5c, OsPIN5b, PIN4
QOZ80_6BG0494030	Nucleotide-diphospho-sugar transferase family protein	
QOZ80_6BG0494040	Nucleotide-diphospho-sugar transferase family protein	
QOZ80_6BG0494050	uridine kinase-like 2 (UKL2);uridine kinase-like 4 (UKL4);uridine kinase/uracil phosphoribosyltransferase 1 (UK/UPRT1)	
QOZ80_6BG0494060	Aldolase-type TIM barrel family protein	RPE
QOZ80_6BG0494070	PBF1	OsPBF1
QOZ80_6BG0494080	ETHYLENE INSENSITIVE ROOT 1 (EIR1);PIN-FORMED 5 (PIN5);PIN-FORMED 8 (PIN8)	OsPIN5a, OsPIN6;OsPIN8;OsPIN9;PIN5B, OsPIN5b, OsPIN5c;PIN5C, OsPIN5c, OsPIN5b, PIN4
QOZ80_6BG0494090	purple acid phosphatase 24 (PAP24);purple acid phosphatase 27 (PAP27);Purple acid phosphatases superfamily protein	OsNPP1, OsPAP27b, PAP27B;OsPAP1a, NPP3, OsNPP3;OsPAP1c, NPP4, OsNPP4;OsPAP27a, NPP6, OsNPP6;OsPAP27c
QOZ80_6BG0494100	ASY2;ASYNAPTIC 1 (ASY1)	OsSTA288
QOZ80_6BG0494120	unknown protein	
QOZ80_6BG0494130	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein	OsSPL12, DLN176, OsDLN176;OsSPL18;OsSPL19;OsSPL2;SPL16, OsSPL16, SLP1, OsSLP1, qGW8, OsGW8
QOZ80_6BG0494170	SEPALLATA1 (SEP1);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
QOZ80_6BG0494180	purple acid phosphatase 24 (PAP24);purple acid phosphatase 27 (PAP27);Purple acid phosphatases superfamily protein	OsNPP1, OsPAP27b, PAP27B;OsPAP1c, NPP4, OsNPP4;OsPAP27a, NPP6, OsNPP6;OsPAP27c
QOZ80_6BG0494190	ETHYLENE INSENSITIVE ROOT 1 (EIR1);PIN-FORMED 4 (PIN4);PIN-FORMED 5 (PIN5)	OsPIN2, PIN2, OsLRA1, WAR1, OsWAR1;OsPIN5a, OsPIN6;OsPIN8;PIN5B, OsPIN5b, OsPIN5c;PIN5C, OsPIN5c, OsPIN5b, PIN4
QOZ80_6BG0494260	embryo defective 2247 (EMB2247);ovule abortion 2 (OVA2);tRNA synthetase class I (I, L, M and V) family protein;TWIN 2 (TWN2);valyl-tRNA synthetase / valine--tRNA ligase-related	OsValRS1, ValRS1;OsValRS3, ValRS3
QOZ80_6BG0494270	unknown protein	
QOZ80_6BG0494280	Peroxidase superfamily protein;root hair specific 19 (RHS19)	prx123;prx51;prx98, Osprx98, POD1, OsPOD1
QOZ80_6BG0494290	emp24/gp25L/p24 family/GOLD family protein	
QOZ80_6BG0494300	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	OsRPL7A;surf-3
QOZ80_6BG0494320	Pollen Ole e 1 allergen and extensin family protein	OsPOEI19
QOZ80_6BG0494340	DHHC-type zinc finger family protein	OsDHHC19;OsDHHC22
QOZ80_6BG0494350	dsRNA-binding protein 2 (DRB2);dsRNA-binding protein 3 (DRB3);dsRNA-binding protein 5 (DRB5)	OsDRB2, DRB2, OsRL89, SRL10, OsSRL10;OsDRB3;OsDRB3, DRB3, OsDRB5
QOZ80_6BG0494360	cobalt ion binding;plastid developmental protein DAG, putative	MORF8-like, OsMORF8a, MORF8a, OsMORF8-1, MORF8-1;OsMORF3;OsMORF8, OsMORF8b, MORF8b, OsMORF8-2, MORF8-2;OsMORF9;OsWSP1, OsMORF2b, MORF2b, OsMORF2, OsMORF2/WSP1
QOZ80_6BG0494390	NAC domain containing protein 25 (NAC025);NAC domain containing protein 41 (NAC041);NAC domain containing protein 83 (NAC083);NAC-like, activated by AP3/PI (NAP)	ONAC001, ONAC1;ONAC005, ONAC5, ONAC035, ONAC35, ONAC046, ONAC46, ONAC052, ONAC52;ONAC010, ONAC10, OsSTA199, OsNAC3, NAC3;OsNAC4, NAC68, ONAC068, OnNAC4*, OnNAC4, OsNAC4/ONAC068;OsNAP, NAP, ONAC058, ONAC58, Os PS1, PS1, OsCTb1, CTb1
QOZ80_6BG0494400	branched-chain alpha-keto acid decarboxylase E1 beta subunit (BCDH BETA1);DARK INDUCIBLE 4 (DIN4);MACCI-BOU (MAB1);pyruvate dehydrogenase E1 beta (PDH-E1 BETA);Transketolase family protein	ptPDC-E1-beta2, OsptPDC-E1-beta2
QOZ80_6BG0494410	hydroxyproline-rich glycoprotein family protein	OsMIZ1
QOZ80_6BG0494430	Esterase/lipase/thioesterase family protein	OsPES1a;OsPES1b;OsPES2
QOZ80_6BG0494450	unknown protein	
QOZ80_6BG0494460	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH080, bHLH080, OsBCL1, BCL1;OsbHLH082;OsbHLH083, bHLH083, CRPG311, OsCRPG311
QOZ80_6BG0494470	ARF-GAP domain 1 (AGD1);ARF-GAP domain 2 (AGD2);ARF-GAP domain 4 (AGD4);SCARFACE (SFC)	OsAGAP, OsC2DP13, C2DP13
QOZ80_6BG0494480	HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1 (HRE1);Integrase-type DNA-binding superfamily protein;related to AP2 6l (Rap2.6L)	DERF5, OsDERF5, OsERF#103, OsERF103, AP2/EREBP#130, AP2/EREBP130, OsERF109;OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#061, OsERF061, OsERF61, AP2/EREBP#093, AP2/EREBP93;OsERF#062, OsERF062, OsERF62, AP2/EREBP#125, AP2/EREBP125, AP2-125, OsLG3, LG3, OsLG3/OsAP2-125, OsAP2-125, WAP1, OsWAP1, OsSTAP1, STAP1, ERF1, OsERF1;OsERF#101, OsERF101, OsDERF6, DERF6, AP2/EREBP#089, AP2/EREBP89, OsRap2.6, Rap2.6, ERF113, OsERF113, OsERF101/OsRAP2.6
QOZ80_6BG0494560	beta glucosidase 11 (BGLU11);beta glucosidase 2 (BGLU3)	Os9bglu31, Os9BGlu31;Os9bglu32, Os9Bglu32;Os9bglu33, Os9Bglu33, 9bglu33, OsBGLU33
QOZ80_6BG0494570	beta glucosidase 11 (BGLU11);beta glucosidase 2 (BGLU3)	Os9bglu31, Os9BGlu31;Os9bglu32, Os9Bglu32;Os9bglu33, Os9Bglu33, 9bglu33, OsBGLU33
QOZ80_6BG0494580	ARM repeat superfamily protein;Fes1C (Fes1C)	NEF, OsFes1C, Fes1C
QOZ80_6BG0494590	cobalt ion binding;FUNCTIONS IN: molecular_function unknown	OsRad52-2a;OsSTA231
QOZ80_6BG0494610	FUNCTIONS IN: molecular_function unknown	
QOZ80_6BG0494620	ankyrin repeat-containing 2B (AKR2B);ankyrin repeat-containing protein 2 (AKR2)	OsBIANK1, XB25, OsXB25, SIP1, OsSIP1;Xbos251, OsXbos251;Xbos252, OsXbos252
QOZ80_6BG0494630	alpha/beta-Hydrolases superfamily protein;lecithin:cholesterol acyltransferase 3 (LCAT3)	OsLCAT3
QOZ80_6BG0494660	dolichol-phosphate mannosyltransferase-related	
QOZ80_6BG0494670	Eukaryotic protein of unknown function (DUF914)	
QOZ80_6BG0494690	Protein kinase superfamily protein	OsRLCK123;OsRLCK277;OsRLCK52
QOZ80_6BG0494710	beta-D-xylosidase 4 (XYL4);beta-xylosidase 1 (BXL1);beta-xylosidase 2 (BXL2);beta-xylosidase 3 (BXL3);Glycosyl hydrolase family protein	OsTIPS-11-9
QOZ80_6BG0494720	DEA(D/H)-box RNA helicase family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein;STRESS RESPONSE SUPPRESSOR 2 (STRS2)	
QOZ80_6BG0494730	HOPW1-1-interacting 2 (WIN2);Protein phosphatase 2C family protein	DCW11, OsPP2C13, PP2C13, OsPP22;OsPP2C10, OsPP18;OsPP2C52, OsPP80;OsPP2C55, OsPP86;OsPP2C56, OsPP87
QOZ80_6BG0494740	cyclic nucleotide gated channel 10 (CNGC10);cyclic nucleotide-gated channel 13 (CNGC13);cyclic nucleotide gated channel 1 (CNGC1)	OsCNGC10, OsCNGC11, CNGC11;OsCNGC12, OsCNGC2, CNGC2;OsCNGC2, OsCNGC1, CNGC1;OsCNGC6, OsCNGC4, CNGC4, OsSTA107;OsCNGC8, OsCNGC6, CNGC6, OsCNGC9
QOZ80_6BG0494750	DNA/RNA polymerases superfamily protein	
